,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
667,Cello puro sport 900 ml Bottle,Cello,900 ml,NaN,₹179,NaN,"Pack of 1, Red, Plastic",4.1,"(7,912)"
668,"Pexpo 900 ML Wall Bottle,750 ML Bottle 500 ML Bottle, 1...",Pexpo,900 ML,"₹2,995","₹1,049",64% off,"Pack of 5, Silver, Red, Blue, Steel",3.3,(38)
669,SKY ENTERPRISES Copper Water Bottle 1000 ml Bottle,SKY,1000 ml,"₹1,299",₹420,67% off,"Pack of 1, Copper, Copper",NaN,NaN
670,Disney Classic 350 ml,Disney,350 ml,NaN,₹349,NaN,Multicolor,3.9,(18)
671,MG Brand Blackpink Kpop Theme Fan Art Sipper Water Bott...,MG,NaN,₹599,₹349,41% off,White,NaN,NaN
672,Tuelip Tuelip Sports Stainless Steel Water Bottle For S...,Tuelip,NaN,₹699,₹269,61% off,"Set of 1, Black",3.5,(34)
673,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,017)"
674,szonee Doremon Cartoon Printed BPA Free Water Bottle fo...,szonee,NaN,₹399,₹148,62% off,"Set of 1, Blue",NaN,NaN
675,SPEEDEX Easy Grip Single Walled Stainless Steel Water B...,SPEEDEX,NaN,₹525,₹409,22% off,"Pack of 1, Black, Steel",4.1,(191)
676,Cello Infuse Multicolour 800 ml Plastic Fruit Infuser S...,Cello,800 ml,₹996,₹449,54% off,"Pack of 4, Multicolor, Plastic",4.3,(205)
677,ADIDAS WATER BOTTLE BPA-FREE WITH AN ERGONOMIC DESIGN 7...,ADIDAS,NaN,"₹1,199",₹798,33% off,"Pack of 1, Black, Plastic",NaN,NaN
678,Rasna Native Haat Chyawanprash,Rasna,NaN,₹180,₹108,40% off,500 g,NaN,NaN
679,Greenchef Kiyo Thermosteel SS 500 ml Bottle,Greenchef,500 ml,₹699,₹449,35% off,"Pack of 1, Silver, Steel",4.3,(645)
680,MG Brand Blackpink Kpop Theme Fan Art Sipper Water Bott...,MG,NaN,₹599,₹349,41% off,White,NaN,NaN
681,Marvel Spiderman 350 ml Water Bottle,Marvel,350 ml,NaN,₹399,NaN,"Set of 1, Red, Blue",3.9,(36)
682,My 60 Minutes Gym Shaker 500 ml Shaker,My,500 ml,₹599,₹149,75% off,"Pack of 1, Multicolor, Plastic",3.9,"(4,478)"
